--------------------------------------
| rollout/                |          |
|    mimic_qpos_reward    | 0.0402    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 311       |
|    iterations           | 7         |
|    time_elapsed         | 92        |
|    total_timesteps      | 28672     |
| train/                  |           |
|    approx_kl            | 10.437086 |
|    clip_fraction        | 0.963     |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.838     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.321     |
|    n_updates            | 18        |
|    policy_gradient_loss | 0.269     |
|    std                  | 0.02      |
|    value_loss           | 0.172     |
---------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 20.9     |
|    ep_reward_mean       | 3.34     |
|    mimic_body_reward    | 0.0556   |
|    mimic_body_vel_re... | 0.0205   |
|    mimic_contact_reward | 0.05     |
|    mimic_ee_reward      | 0.0046   |
|    mimic_qpos_reward    | 0.0345   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 311      |
|    iterations           | 8        |
|    time_elapsed         | 105      |
|    total_timesteps      | 32768    |
| train/                  |          |
|    approx_kl            | 8.764414 |
|    clip_fraction        | 0.962    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.839    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.284    |
|    n_updates            | 21       |
|    policy_gradient_loss | 0.243    |
|    std                  | 0.02     |
|    value_loss           | 0.17     |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 20.5     |
|    ep_reward_mean       | 3.39     |
|    mimic_body_reward    | 0.0383   |
|    mimic_body_vel_re... | 0.00702  |
|    mimic_contact_reward | 0.014    |
|    mimic_ee_reward      | 0.00386  |
|    mimic_qpos_reward    | 0.0245   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 310      |
|    iterations           | 9        |
|    time_elapsed         | 118      |
|    total_timesteps      | 36864    |
| train/                  |          |
|    approx_kl            | 9.19389  |
|    clip_fraction        | 0.961    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.882    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.329    |
|    n_updates            | 24       |
|    policy_gradient_loss | 0.496    |
|    std                  | 0.02     |
|    value_loss           | 0.136    |
--------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 21.4      |
|    ep_reward_mean       | 3.51      |
|    mimic_body_reward    | 0.0568    |
|    mimic_body_vel_re... | 0.00813   |
|    mimic_contact_reward | 0.042     |
|    mimic_ee_reward      | 0.00613   |
|    mimic_qpos_reward    | 0.0487    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 311       |
|    iterations           | 10        |
|    time_elapsed         | 131       |
|    total_timesteps      | 40960     |
| train/                  |           |
|    approx_kl            | 11.499322 |
|    clip_fraction        | 0.965     |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.85      |
|    learning_rate        | 0.0001    |
|    loss                 | 0.691     |
|    n_updates            | 27        |
|    policy_gradient_loss | 0.258     |
|    std                  | 0.02      |
|    value_loss           | 0.144     |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 21.4      |
|    ep_reward_mean       | 3.52      |
|    mimic_body_reward    | 0.0682    |
|    mimic_body_vel_re... | 0.00886   |
|    mimic_contact_reward | 0.04      |
|    mimic_ee_reward      | 0.00654   |
|    mimic_qpos_reward    | 0.0457    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 310       |
|    iterations           | 11        |
|    time_elapsed         | 144       |
|    total_timesteps      | 45056     |
| train/                  |           |
|    approx_kl            | 7.6621876 |
|    clip_fraction        | 0.959     |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.856     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.272     |
|    n_updates            | 30        |
|    policy_gradient_loss | 0.248     |
|    std                  | 0.02      |
|    value_loss           | 0.171     |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 21.4      |
|    ep_reward_mean       | 3.55      |
|    mimic_body_reward    | 0.0581    |
|    mimic_body_vel_re... | 0.0132    |
|    mimic_contact_reward | 0.04      |
|    mimic_ee_reward      | 0.00622   |
|    mimic_qpos_reward    | 0.0486    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 311       |
|    iterations           | 12        |
|    time_elapsed         | 157       |
|    total_timesteps      | 49152     |
| train/                  |           |
|    approx_kl            | 10.002884 |
|    clip_fraction        | 0.96      |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.885     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.316     |
|    n_updates            | 33        |
|    policy_gradient_loss | 0.56      |
|    std                  | 0.02      |
|    value_loss           | 0.148     |
---------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 22.5     |
|    ep_reward_mean       | 3.53     |
|    mimic_body_reward    | 0.0642   |
|    mimic_body_vel_re... | 0.0103   |
|    mimic_contact_reward | 0.034    |
|    mimic_ee_reward      | 0.00664  |
|    mimic_qpos_reward    | 0.0353   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 311      |
|    iterations           | 13       |
|    time_elapsed         | 171      |
|    total_timesteps      | 53248    |
| train/                  |          |
|    approx_kl            | 9.288638 |
|    clip_fraction        | 0.961    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.831    |
|    learning_rate        | 0.0001   |
|    loss                 | 1.2      |
|    n_updates            | 36       |
|    policy_gradient_loss | 0.267    |
|    std                  | 0.02     |
|    value_loss           | 0.159    |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 21.5     |
|    ep_reward_mean       | 3.29     |
|    mimic_body_reward    | 0.0406   |
|    mimic_body_vel_re... | 0.00876  |
|    mimic_contact_reward | 0.026    |
|    mimic_ee_reward      | 0.00473  |
|    mimic_qpos_reward    | 0.0227   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 311      |
|    iterations           | 14       |
|    time_elapsed         | 184      |
|    total_timesteps      | 57344    |
| train/                  |          |
|    approx_kl            | 9.15913  |
|    clip_fraction        | 0.965    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.866    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.287    |
|    n_updates            | 39       |
|    policy_gradient_loss | 0.341    |
|    std                  | 0.02     |
|    value_loss           | 0.166    |
--------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 22.2      |
|    ep_reward_mean       | 3.42      |
|    mimic_body_reward    | 0.0651    |
|    mimic_body_vel_re... | 0.0124    |
|    mimic_contact_reward | 0.038     |
|    mimic_ee_reward      | 0.00632   |
|    mimic_qpos_reward    | 0.0459    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 310       |
|    iterations           | 15        |
|    time_elapsed         | 197       |
|    total_timesteps      | 61440     |
| train/                  |           |
|    approx_kl            | 10.009981 |
|    clip_fraction        | 0.962     |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.887     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.289     |
|    n_updates            | 42        |
|    policy_gradient_loss | 0.468     |
|    std                  | 0.02      |
|    value_loss           | 0.119     |
---------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 21.5      |
|    ep_reward_mean       | 3.37      |
|    mimic_body_reward    | 0.0497    |
|    mimic_body_vel_re... | 0.0169    |
|    mimic_contact_reward | 0.048     |
|    mimic_ee_reward      | 0.00329   |
|    mimic_qpos_reward    | 0.026     |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 311       |
|    iterations           | 16        |
|    time_elapsed         | 210       |
|    total_timesteps      | 65536     |
| train/                  |           |
|    approx_kl            | 10.647453 |
|    clip_fraction        | 0.964     |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.892     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.354     |
|    n_updates            | 45        |
|    policy_gradient_loss | 0.428     |
|    std                  | 0.02      |
|    value_loss           | 0.126     |
---------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 21.4     |
|    ep_reward_mean       | 3.35     |
|    mimic_body_reward    | 0.0417   |
|    mimic_body_vel_re... | 0.00709  |
|    mimic_contact_reward | 0.028    |
|    mimic_ee_reward      | 0.00553  |
|    mimic_qpos_reward    | 0.0496   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 311      |
|    iterations           | 17       |
|    time_elapsed         | 223      |
|    total_timesteps      | 69632    |
| train/                  |          |
|    approx_kl            | 9.59652  |
|    clip_fraction        | 0.964    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.879    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.287    |
|    n_updates            | 48       |
|    policy_gradient_loss | 0.335    |
|    std                  | 0.02     |
|    value_loss           | 0.138    |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 21.1     |
|    ep_reward_mean       | 3.18     |
|    mimic_body_reward    | 0.0438   |
|    mimic_body_vel_re... | 0.00441  |
|    mimic_contact_reward | 0.042    |
|    mimic_ee_reward      | 0.00279  |
|    mimic_qpos_reward    | 0.0295   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 311      |
|    iterations           | 18       |
|    time_elapsed         | 236      |
|    total_timesteps      | 73728    |
| train/                  |          |
|    approx_kl            | 9.473353 |
|    clip_fraction        | 0.96     |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.888    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.267    |
|    n_updates            | 51       |
|    policy_gradient_loss | 0.29     |
|    std                  | 0.02     |
|    value_loss           | 0.128    |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 21.8     |
|    ep_reward_mean       | 3.31     |
|    mimic_body_reward    | 0.0355   |
|    mimic_body_vel_re... | 0.01     |
|    mimic_contact_reward | 0.05     |
|    mimic_ee_reward      | 0.00153  |
|    mimic_qpos_reward    | 0.0166   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 311      |
|    iterations           | 19       |
|    time_elapsed         | 249      |
|    total_timesteps      | 77824    |
| train/                  |          |
|    approx_kl            | 7.317108 |
|    clip_fraction        | 0.961    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.89     |
|    learning_rate        | 0.0001   |
|    loss                 | 0.193    |
|    n_updates            | 54       |
|    policy_gradient_loss | 0.252    |
|    std                  | 0.02     |
|    value_loss           | 0.135    |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 21.7     |
|    ep_reward_mean       | 3.4      |
|    mimic_body_reward    | 0.0658   |
|    mimic_body_vel_re... | 0.00606  |
|    mimic_contact_reward | 0.04     |
|    mimic_ee_reward      | 0.00606  |
|    mimic_qpos_reward    | 0.0505   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 311      |
|    iterations           | 20       |
|    time_elapsed         | 263      |
|    total_timesteps      | 81920    |
| train/                  |          |
|    approx_kl            | 9.937529 |
|    clip_fraction        | 0.963    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.882    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.299    |
|    n_updates            | 57       |
|    policy_gradient_loss | 0.27     |
|    std                  | 0.02     |
|    value_loss           | 0.14     |
--------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 22.4      |
|    ep_reward_mean       | 3.55      |
|    mimic_body_reward    | 0.0697    |
|    mimic_body_vel_re... | 0.0206    |
|    mimic_contact_reward | 0.056     |
|    mimic_ee_reward      | 0.00576   |
|    mimic_qpos_reward    | 0.0407    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 311       |
|    iterations           | 21        |
|    time_elapsed         | 276       |
|    total_timesteps      | 86016     |
| train/                  |           |
|    approx_kl            | 9.0750885 |
|    clip_fraction        | 0.966     |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.887     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.33      |
|    n_updates            | 60        |
|    policy_gradient_loss | 0.306     |
|    std                  | 0.02      |
|    value_loss           | 0.12      |
---------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 21.2     |
|    ep_reward_mean       | 3.42     |
|    mimic_body_reward    | 0.0557   |
|    mimic_body_vel_re... | 0.00628  |
|    mimic_contact_reward | 0.034    |
|    mimic_ee_reward      | 0.00456  |
|    mimic_qpos_reward    | 0.0487   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 311      |
|    iterations           | 22       |
|    time_elapsed         | 288      |
|    total_timesteps      | 90112    |
| train/                  |          |
|    approx_kl            | 9.128862 |
|    clip_fraction        | 0.965    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.895    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.286    |
|    n_updates            | 63       |
|    policy_gradient_loss | 0.266    |
|    std                  | 0.02     |
|    value_loss           | 0.131    |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 22.8     |
|    ep_reward_mean       | 3.67     |
|    mimic_body_reward    | 0.0832   |
|    mimic_body_vel_re... | 0.0248   |
|    mimic_contact_reward | 0.06     |
|    mimic_ee_reward      | 0.00692  |
|    mimic_qpos_reward    | 0.0328   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 312      |
|    iterations           | 23       |
|    time_elapsed         | 301      |
|    total_timesteps      | 94208    |
| train/                  |          |
|    approx_kl            | 8.556935 |
|    clip_fraction        | 0.961    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.88     |
|    learning_rate        | 0.0001   |
|    loss                 | 0.315    |
|    n_updates            | 66       |
|    policy_gradient_loss | 0.285    |
|    std                  | 0.02     |
|    value_loss           | 0.131    |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 22.9     |
|    ep_reward_mean       | 3.87     |
|    mimic_body_reward    | 0.0548   |
|    mimic_body_vel_re... | 0.0166   |
|    mimic_contact_reward | 0.044    |
|    mimic_ee_reward      | 0.0049   |
|    mimic_qpos_reward    | 0.0282   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 312      |
|    iterations           | 24       |
|    time_elapsed         | 314      |
|    total_timesteps      | 98304    |
| train/                  |          |
|    approx_kl            | 9.959879 |
|    clip_fraction        | 0.959    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.866    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.283    |
|    n_updates            | 69       |
|    policy_gradient_loss | 0.266    |
|    std                  | 0.02     |
|    value_loss           | 0.136    |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 21.9     |
|    ep_reward_mean       | 3.54     |
|    mimic_body_reward    | 0.0449   |
|    mimic_body_vel_re... | 0.01     |
|    mimic_contact_reward | 0.046    |
|    mimic_ee_reward      | 0.00344  |
|    mimic_qpos_reward    | 0.0387   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 312      |
|    iterations           | 25       |
|    time_elapsed         | 327      |
|    total_timesteps      | 102400   |
| train/                  |          |
|    approx_kl            | 9.351116 |
|    clip_fraction        | 0.957    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.869    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.286    |
|    n_updates            | 72       |
|    policy_gradient_loss | 0.243    |
|    std                  | 0.02     |
|    value_loss           | 0.168    |
--------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 22.1      |
|    ep_reward_mean       | 3.48      |
|    mimic_body_reward    | 0.0712    |
|    mimic_body_vel_re... | 0.0235    |
|    mimic_contact_reward | 0.068     |
|    mimic_ee_reward      | 0.0062    |
|    mimic_qpos_reward    | 0.0364    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 312       |
|    iterations           | 26        |
|    time_elapsed         | 340       |
|    total_timesteps      | 106496    |
| train/                  |           |
|    approx_kl            | 6.5791974 |
|    clip_fraction        | 0.958     |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.891     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.288     |
|    n_updates            | 75        |
|    policy_gradient_loss | 0.288     |
|    std                  | 0.02      |
|    value_loss           | 0.139     |
---------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 23       |
|    ep_reward_mean       | 3.71     |
|    mimic_body_reward    | 0.0583   |
|    mimic_body_vel_re... | 0.014    |
|    mimic_contact_reward | 0.046    |
|    mimic_ee_reward      | 0.00586  |
|    mimic_qpos_reward    | 0.0321   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 312      |
|    iterations           | 27       |
|    time_elapsed         | 354      |
|    total_timesteps      | 110592   |
| train/                  |          |
|    approx_kl            | 8.722564 |
|    clip_fraction        | 0.957    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.882    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.266    |
|    n_updates            | 78       |
|    policy_gradient_loss | 0.242    |
|    std                  | 0.02     |
|    value_loss           | 0.143    |
--------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 22.8      |
|    ep_reward_mean       | 3.35      |
|    mimic_body_reward    | 0.0358    |
|    mimic_body_vel_re... | 0.014     |
|    mimic_contact_reward | 0.072     |
|    mimic_ee_reward      | 0.00173   |
|    mimic_qpos_reward    | 0.0218    |
|    mimic_qvel_reward    | 0         |
| time/                   |           |
|    fps                  | 312       |
|    iterations           | 28        |
|    time_elapsed         | 367       |
|    total_timesteps      | 114688    |
| train/                  |           |
|    approx_kl            | 10.293943 |
|    clip_fraction        | 0.96      |
|    clip_range           | 0.2       |
|    entropy_loss         | 57.3      |
|    explained_variance   | 0.885     |
|    learning_rate        | 0.0001    |
|    loss                 | 0.227     |
|    n_updates            | 81        |
|    policy_gradient_loss | 0.284     |
|    std                  | 0.02      |
|    value_loss           | 0.146     |
---------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 22.9     |
|    ep_reward_mean       | 3.63     |
|    mimic_body_reward    | 0.045    |
|    mimic_body_vel_re... | 0.0129   |
|    mimic_contact_reward | 0.04     |
|    mimic_ee_reward      | 0.00273  |
|    mimic_qpos_reward    | 0.0311   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 312      |
|    iterations           | 29       |
|    time_elapsed         | 380      |
|    total_timesteps      | 118784   |
| train/                  |          |
|    approx_kl            | 9.900738 |
|    clip_fraction        | 0.965    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.882    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.264    |
|    n_updates            | 84       |
|    policy_gradient_loss | 0.278    |
|    std                  | 0.02     |
|    value_loss           | 0.136    |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 22.8     |
|    ep_reward_mean       | 3.75     |
|    mimic_body_reward    | 0.068    |
|    mimic_body_vel_re... | 0.0187   |
|    mimic_contact_reward | 0.048    |
|    mimic_ee_reward      | 0.0033   |
|    mimic_qpos_reward    | 0.0396   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 312      |
|    iterations           | 30       |
|    time_elapsed         | 393      |
|    total_timesteps      | 122880   |
| train/                  |          |
|    approx_kl            | 8.981831 |
|    clip_fraction        | 0.962    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.901    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.319    |
|    n_updates            | 87       |
|    policy_gradient_loss | 0.253    |
|    std                  | 0.02     |
|    value_loss           | 0.127    |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 22.7     |
|    ep_reward_mean       | 3.61     |
|    mimic_body_reward    | 0.0615   |
|    mimic_body_vel_re... | 0.0201   |
|    mimic_contact_reward | 0.044    |
|    mimic_ee_reward      | 0.00452  |
|    mimic_qpos_reward    | 0.0326   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 312      |
|    iterations           | 31       |
|    time_elapsed         | 406      |
|    total_timesteps      | 126976   |
| train/                  |          |
|    approx_kl            | 8.137794 |
|    clip_fraction        | 0.958    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.903    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.294    |
|    n_updates            | 90       |
|    policy_gradient_loss | 0.294    |
|    std                  | 0.02     |
|    value_loss           | 0.135    |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 21.6     |
|    ep_reward_mean       | 3.42     |
|    mimic_body_reward    | 0.0501   |
|    mimic_body_vel_re... | 0.0102   |
|    mimic_contact_reward | 0.032    |
|    mimic_ee_reward      | 0.00584  |
|    mimic_qpos_reward    | 0.0391   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 312      |
|    iterations           | 32       |
|    time_elapsed         | 419      |
|    total_timesteps      | 131072   |
| train/                  |          |
|    approx_kl            | 9.539836 |
|    clip_fraction        | 0.966    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.903    |
|    learning_rate        | 0.0001   |
|    loss                 | 0.216    |
|    n_updates            | 93       |
|    policy_gradient_loss | 0.257    |
|    std                  | 0.02     |
|    value_loss           | 0.116    |
--------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 23.5     |
|    ep_reward_mean       | 3.91     |
|    mimic_body_reward    | 0.0638   |
|    mimic_body_vel_re... | 0.0116   |
|    mimic_contact_reward | 0.046    |
|    mimic_ee_reward      | 0.00359  |
|    mimic_qpos_reward    | 0.0415   |
|    mimic_qvel_reward    | 0        |
| time/                   |          |
|    fps                  | 312      |
|    iterations           | 33       |
|    time_elapsed         | 432      |
|    total_timesteps      | 135168   |
| train/                  |          |
|    approx_kl            | 8.601207 |
|    clip_fraction        | 0.958    |
|    clip_range           | 0.2      |
|    entropy_loss         | 57.3     |
|    explained_variance   | 0.908    |
